subject,condition,freqBandPowerThetaFz,freqBandPowerAlphaMean,freqBandPowerAlphaPz,freqBandPowerAlphaP1,freqBandPowerAlphaP2,freqBandPowerAlphaP3,freqBandPowerAlphaP4
sub-081,highMemory,7.017807,8.203362,8.499561,8.011578,8.245134,7.882411,8.378126
sub-081,lowControl,5.914153,6.858123,7.096894,6.628366,6.872285,6.624224,7.068848
sub-081,highControl,5.667361,6.965595,7.762402,6.953196,6.829339,6.808082,6.474955
sub-079,lowMemory,0.147574,0.545167,0.000000,1.038010,0.819897,0.300564,0.567365
sub-079,highMemory,0.300199,-0.693408,0.000000,-0.879129,-0.519839,-1.462495,-0.605575
sub-079,lowControl,-0.211542,0.544972,0.000000,1.063530,0.943181,0.117022,0.601127
sub-079,highControl,-0.365675,0.723690,0.000000,1.573065,1.128779,0.379974,0.536634
sub-078,lowMemory,0.649925,-2.984145,-3.406274,-3.403385,-3.181862,-3.599159,-1.330043
sub-078,highMemory,2.406132,-2.631156,-3.239310,-3.257571,-2.695110,-3.807239,-0.156550
sub-078,lowControl,0.819442,-2.600610,-2.949320,-2.930870,-3.013795,-3.075277,-1.033789
sub-078,highControl,0.545753,-3.170014,-3.704630,-3.730062,-3.506414,-3.392143,-1.516820
sub-077,lowMemory,3.453984,-1.007156,-0.979899,-1.503632,-1.353299,0.100977,-1.299926
sub-077,highMemory,3.405488,-1.306305,-0.840912,-1.327063,-2.024323,-0.337263,-2.001965
sub-077,lowControl,2.572729,-0.732932,-0.529739,-0.911751,-1.482060,0.684020,-1.425130
sub-077,highControl,2.800045,-1.028998,-0.862530,-1.185940,-1.966443,0.797190,-1.927267
sub-076,lowMemory,1.157472,-0.148072,-0.508356,-0.159031,-0.231041,0.248702,-0.090637
sub-076,highMemory,1.732308,0.189052,0.014107,-0.103178,0.377715,0.405714,0.250900
sub-076,lowControl,1.282495,-2.159391,-2.324579,-2.261756,-2.837473,-1.098762,-2.274386
sub-076,highControl,1.864344,-1.990874,-2.170009,-2.537404,-1.904829,-1.423916,-1.918210
sub-075,lowMemory,2.288292,3.483465,3.312305,3.544243,2.781074,4.560220,3.219483
sub-075,highMemory,2.330195,2.993237,2.623224,2.745162,2.376048,4.023979,3.197772
sub-075,lowControl,2.067991,4.119562,4.152406,3.960291,3.668972,4.573373,4.242769
sub-075,highControl,2.412554,4.132368,4.010681,4.109726,3.475197,4.672075,4.394160
sub-074,lowMemory,1.308996,-2.860783,-2.868125,-3.734891,-2.709827,-2.665672,-2.325402
sub-074,highMemory,3.331267,-2.915403,-3.139111,-3.849417,-2.880481,-2.611886,-2.096119
sub-074,lowControl,-0.226260,-1.458653,-1.254181,-2.388479,-1.517765,-2.122056,-0.010785
sub-074,highControl,0.242034,-0.653434,-1.310512,-1.832752,-0.879816,-0.073701,0.829611
sub-073,lowMemory,3.638121,6.482462,6.251153,6.327829,6.483845,6.427926,6.921560
sub-073,highMemory,3.243294,6.430247,6.056908,6.209807,6.357400,6.597364,6.929754
sub-073,lowControl,3.197817,6.257223,5.963344,5.933846,6.313914,6.223966,6.851046
sub-073,highControl,3.298266,5.803142,5.657349,5.470416,5.965911,5.523149,6.398885
sub-072,lowMemory,3.006879,-4.892453,-5.875071,-7.164754,-6.227616,0.798771,-5.993593
sub-072,highMemory,3.269811,-5.306340,-6.014075,-7.140001,-6.362126,-0.802275,-6.213221
sub-072,lowControl,1.653495,-6.003533,-6.363008,-7.475088,-6.695584,-3.387311,-6.096673
sub-072,highControl,1.756939,-5.573872,-6.398928,-7.281146,-6.688824,-1.446973,-6.053492
sub-071,lowMemory,1.909765,1.991094,2.467257,1.668087,1.808607,1.833361,2.178159
sub-071,highMemory,2.460332,0.867908,1.376020,0.453444,0.819857,0.651976,1.038243
sub-071,lowControl,2.781112,1.782945,2.336411,1.523379,1.641470,1.552807,1.860659
sub-071,highControl,3.001413,1.393377,1.900129,1.288614,1.154670,1.311922,1.311551
sub-070,lowMemory,6.097267,4.982277,4.422693,4.388990,4.477025,5.592405,6.030274
sub-070,highMemory,5.790483,4.667637,4.127070,3.980077,4.426550,4.997749,5.806738
sub-070,lowControl,5.638547,4.473795,3.843635,3.846864,3.921623,5.329737,5.427118
sub-070,highControl,5.589305,4.155281,3.557544,3.460447,3.782926,4.855121,5.120367
sub-069,lowMemory,6.207032,3.462251,3.765780,3.179070,3.850680,3.791784,2.723938
sub-069,highMemory,8.138133,2.641601,2.798978,2.450465,2.824269,3.158668,1.975623
sub-069,lowControl,4.676577,2.269742,2.495436,2.391371,2.406730,2.394357,1.660814
sub-069,highControl,6.052276,2.007194,2.499210,2.223374,2.049639,2.315013,0.948734
sub-068,lowMemory,3.776927,6.879449,6.826884,6.657318,6.657774,6.312273,7.942998
sub-068,highMemory,4.362798,6.501405,6.262842,6.257707,6.264437,6.069791,7.652248
sub-068,lowControl,3.975531,7.896472,8.006731,7.768424,7.784273,7.348222,8.574707
sub-068,highControl,3.527265,7.129558,7.289337,6.966524,7.075989,6.425277,7.890663
sub-067,lowMemory,-3.245244,-6.450635,-6.222886,-6.744028,-6.753708,-6.747848,-5.784704
sub-067,highMemory,-3.179038,-7.097038,-6.766437,-7.386933,-7.515466,-7.192708,-6.623647
sub-067,lowControl,-3.257281,-6.919846,-6.700885,-7.111415,-7.281350,-6.972221,-6.533360
sub-067,highControl,-3.491696,-6.887046,-6.715285,-7.048863,-7.437952,-7.059059,-6.174070
sub-065,lowMemory,0.427031,0.938474,0.470712,0.362751,0.580581,1.195619,2.082704
sub-065,highMemory,0.293698,-0.668475,-1.272800,-1.280692,-1.110146,-0.269659,0.590922
sub-065,lowControl,0.892522,0.727055,0.184178,0.144924,0.515172,0.892782,1.898220
sub-065,highControl,0.675844,0.341929,-0.080467,-0.089522,-0.045043,0.630491,1.294185
sub-064,lowMemory,-2.131891,-5.006130,-5.155485,-5.713645,-5.397286,-3.435539,-5.328696
sub-064,highMemory,-0.925315,-5.720547,-5.982175,-6.675353,-6.189666,-3.488029,-6.267511
sub-064,lowControl,-1.915655,-5.407221,-5.396113,-6.041394,-5.435258,-4.883863,-5.279475
sub-064,highControl,-2.185459,-5.266935,-5.210426,-5.473745,-5.602527,-4.373048,-5.674928
sub-060,lowMemory,1.345691,-2.233395,-2.775818,-2.426088,-2.186069,-2.161514,-1.617485
sub-060,highMemory,1.246623,-3.137528,-3.630349,-3.308216,-3.144491,-3.092144,-2.512438
sub-060,lowControl,1.601409,-1.372982,-2.153559,-1.805032,-1.106271,-1.361483,-0.438562
sub-060,highControl,1.414669,-1.557347,-2.326576,-1.860473,-1.356034,-1.435435,-0.808215
sub-059,lowMemory,0.688292,-0.299890,0.710531,0.071409,-0.529979,0.222718,-1.974127
sub-059,highMemory,0.709771,-0.811537,0.052510,-0.350394,-1.079942,-0.163293,-2.516564
sub-059,lowControl,0.564478,-0.174330,0.949857,0.200726,-0.264299,0.079254,-1.837187
sub-059,highControl,1.055026,-0.967071,-0.093505,-0.373144,-1.460138,-0.156980,-2.751589
sub-057,lowMemory,1.261914,-3.324180,-2.307321,-3.599121,-3.179088,-4.249745,-3.285626
sub-057,highMemory,0.385705,-4.424031,-2.913457,-3.828162,-4.794541,-4.606893,-5.977104
sub-057,lowControl,-0.561604,-3.728122,-3.889646,-4.469292,-3.730140,-3.870412,-2.681119
sub-057,highControl,-0.093832,-3.054998,-1.379891,-2.983363,-2.854354,-4.219182,-3.838201
sub-056,lowMemory,2.616480,5.138925,4.972249,5.108445,5.103038,5.181698,5.329197
sub-056,highMemory,2.137617,5.661195,5.445598,5.663252,5.539153,5.896142,5.761831
sub-056,lowControl,2.367843,4.456116,4.173188,4.349684,4.462186,4.579834,4.715689
sub-056,highControl,2.734879,4.941998,4.621783,4.703392,4.992952,4.988019,5.403843
sub-055,lowMemory,-0.648599,-4.277485,-4.605580,-4.540994,-5.496286,-1.865542,-4.879024
sub-055,highMemory,-0.270361,-4.486845,-4.623264,-4.636669,-5.815252,-1.783420,-5.575622
sub-055,lowControl,-0.829708,-4.023189,-4.350185,-4.171238,-4.647785,-3.477994,-3.468742
sub-055,highControl,-0.476209,-4.326632,-4.408890,-4.169568,-5.090814,-3.380596,-4.583294
sub-054,lowMemory,1.519614,4.523820,3.614315,4.052739,4.540922,4.468913,5.942210
